backing_thickness_mm,case_name,conductive_thickness_mm,element_count,log_file,material_case,maximum_time_step,maximum_trial_negative_jacobians,mesh_level,metadata_file,model_file,movement,negative_jacobian_trial_messages,node_count,normal_termination,raw_log_status,sensor_length_mm,sensor_width_mm,summary_file,taper_length_mm,time_steps
0.4,affine_angle_0_local_coarse,0.6,1328,,literature_nominal,,0,local_coarse,model/affine_angle_0_local_coarse_metadata.json,model/affine_angle_0_local_coarse.feb,,0,1836,True,retained by authors; available on reasonable request,80.0,15.0,results/affine_angle_0_local_coarse_summary.json,5.0,
0.4,anisotropy_balanced_angle_0_local_coarse,0.6,1328,,textile_fiber_balanced,,0,local_coarse,model/anisotropy_balanced_angle_0_local_coarse_metadata.json,model/anisotropy_balanced_angle_0_local_coarse.feb,,0,1836,True,retained by authors; available on reasonable request,80.0,15.0,results/anisotropy_balanced_angle_0_local_coarse_summary.json,5.0,
0.4,anisotropy_balanced_angle_0_local_medium,0.6,7632,,textile_fiber_balanced,,0,local_medium,model/anisotropy_balanced_angle_0_local_medium_metadata.json,model/anisotropy_balanced_angle_0_local_medium.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/anisotropy_balanced_angle_0_local_medium_summary.json,5.0,
0.4,anisotropy_balanced_angle_60_local_medium,0.6,7632,,textile_fiber_balanced,,0,local_medium,model/anisotropy_balanced_angle_60_local_medium_metadata.json,model/anisotropy_balanced_angle_60_local_medium.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/anisotropy_balanced_angle_60_local_medium_summary.json,5.0,
0.4,anisotropy_x3_angle_0_local_medium,0.6,7632,,textile_fiber_x3,,0,local_medium,model/anisotropy_x3_angle_0_local_medium_metadata.json,model/anisotropy_x3_angle_0_local_medium.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/anisotropy_x3_angle_0_local_medium_summary.json,5.0,
0.4,anisotropy_x3_angle_60_local_medium,0.6,7632,,textile_fiber_x3,,0,local_medium,model/anisotropy_x3_angle_60_local_medium_metadata.json,model/anisotropy_x3_angle_60_local_medium.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/anisotropy_x3_angle_60_local_medium_summary.json,5.0,
0.4,anisotropy_y3_angle_0_local_medium,0.6,7632,,textile_fiber_y3,,1289,local_medium,model/anisotropy_y3_angle_0_local_medium_metadata.json,model/anisotropy_y3_angle_0_local_medium.feb,,2,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/anisotropy_y3_angle_0_local_medium_summary.json,5.0,
0.4,anisotropy_y3_angle_60_local_medium,0.6,7632,,textile_fiber_y3,,0,local_medium,model/anisotropy_y3_angle_60_local_medium_metadata.json,model/anisotropy_y3_angle_60_local_medium.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/anisotropy_y3_angle_60_local_medium_summary.json,5.0,
0.4,arm_raise_sensor_contact_aware_s10_local_medium,0.6,7632,,textile_fiber_balanced,,0,local_medium,model/arm_raise_sensor_contact_aware_s10_local_medium_metadata.json,model/arm_raise_sensor_contact_aware_s10_local_medium.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/arm_raise_sensor_contact_aware_s10_local_medium_summary.json,5.0,
0.4,arm_raise_sensor_contact_aware_s3_local_medium,0.6,7632,,textile_fiber_balanced,,739,local_medium,model/arm_raise_sensor_contact_aware_s3_local_medium_metadata.json,model/arm_raise_sensor_contact_aware_s3_local_medium.feb,,2,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/arm_raise_sensor_contact_aware_s3_local_medium_summary.json,5.0,
0.4,arm_raise_sensor_contact_aware_s3_local_medium_refinedstep,0.6,7632,,textile_fiber_balanced,0.02,0,local_medium,model/arm_raise_sensor_contact_aware_s3_local_medium_refinedstep_metadata.json,model/arm_raise_sensor_contact_aware_s3_local_medium_refinedstep.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/arm_raise_sensor_contact_aware_s3_local_medium_refinedstep_summary.json,5.0,60
0.4,arm_raise_sensor_contact_aware_s8_local_medium,0.6,7632,,textile_fiber_balanced,,727,local_medium,model/arm_raise_sensor_contact_aware_s8_local_medium_metadata.json,model/arm_raise_sensor_contact_aware_s8_local_medium.feb,,2,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/arm_raise_sensor_contact_aware_s8_local_medium_summary.json,5.0,
0.4,arm_raise_sensor_contact_aware_s8_local_medium_refinedstep,0.6,7632,,textile_fiber_balanced,0.02,0,local_medium,model/arm_raise_sensor_contact_aware_s8_local_medium_refinedstep_metadata.json,model/arm_raise_sensor_contact_aware_s8_local_medium_refinedstep.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/arm_raise_sensor_contact_aware_s8_local_medium_refinedstep_summary.json,5.0,60
0.4,arm_raise_sensor_contact_aware_s9_local_medium,0.6,7632,,textile_fiber_balanced,,0,local_medium,model/arm_raise_sensor_contact_aware_s9_local_medium_metadata.json,model/arm_raise_sensor_contact_aware_s9_local_medium.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/arm_raise_sensor_contact_aware_s9_local_medium_summary.json,5.0,
0.4,arm_raise_sensor_contact_free_s10_local_medium_finitegreen,0.6,7632,,textile_fiber_balanced,0.05,0,local_medium,model/arm_raise_sensor_contact_free_s10_local_medium_finitegreen_metadata.json,model/arm_raise_sensor_contact_free_s10_local_medium_finitegreen.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/arm_raise_sensor_contact_free_s10_local_medium_finitegreen_summary.json,5.0,30
0.4,arm_raise_sensor_contact_free_s10_local_medium,0.6,7632,,textile_fiber_balanced,,0,local_medium,model/arm_raise_sensor_contact_free_s10_local_medium_metadata.json,model/arm_raise_sensor_contact_free_s10_local_medium.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/arm_raise_sensor_contact_free_s10_local_medium_summary.json,5.0,
0.4,arm_raise_sensor_contact_free_s3_local_medium_finitegreen,0.6,7632,,textile_fiber_balanced,0.05,0,local_medium,model/arm_raise_sensor_contact_free_s3_local_medium_finitegreen_metadata.json,model/arm_raise_sensor_contact_free_s3_local_medium_finitegreen.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/arm_raise_sensor_contact_free_s3_local_medium_finitegreen_summary.json,5.0,30
0.4,arm_raise_sensor_contact_free_s3_local_medium,0.6,7632,,textile_fiber_balanced,,0,local_medium,model/arm_raise_sensor_contact_free_s3_local_medium_metadata.json,model/arm_raise_sensor_contact_free_s3_local_medium.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/arm_raise_sensor_contact_free_s3_local_medium_summary.json,5.0,
0.4,arm_raise_sensor_contact_free_s8_local_medium_finitegreen,0.6,7632,,textile_fiber_balanced,0.05,0,local_medium,model/arm_raise_sensor_contact_free_s8_local_medium_finitegreen_metadata.json,model/arm_raise_sensor_contact_free_s8_local_medium_finitegreen.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/arm_raise_sensor_contact_free_s8_local_medium_finitegreen_summary.json,5.0,30
0.4,arm_raise_sensor_contact_free_s8_local_medium,0.6,7632,,textile_fiber_balanced,,0,local_medium,model/arm_raise_sensor_contact_free_s8_local_medium_metadata.json,model/arm_raise_sensor_contact_free_s8_local_medium.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/arm_raise_sensor_contact_free_s8_local_medium_summary.json,5.0,
0.4,arm_raise_sensor_contact_free_s9_local_medium_finitegreen,0.6,7632,,textile_fiber_balanced,0.05,0,local_medium,model/arm_raise_sensor_contact_free_s9_local_medium_finitegreen_metadata.json,model/arm_raise_sensor_contact_free_s9_local_medium_finitegreen.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/arm_raise_sensor_contact_free_s9_local_medium_finitegreen_summary.json,5.0,30
0.4,arm_raise_sensor_contact_free_s9_local_medium,0.6,7632,,textile_fiber_balanced,,0,local_medium,model/arm_raise_sensor_contact_free_s9_local_medium_metadata.json,model/arm_raise_sensor_contact_free_s9_local_medium.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/arm_raise_sensor_contact_free_s9_local_medium_summary.json,5.0,
0.4,compressibility_literature_nominal_medium,0.6,1920,,literature_nominal,0.05,0,medium,model/compressibility_literature_nominal_medium_metadata.json,model/compressibility_literature_nominal_medium.feb,,0,2601,True,retained by authors; available on reasonable request,80.0,15.0,results/compressibility_literature_nominal_medium_summary.json,0.0,30
0.4,compressibility_textile_nu_high_medium,0.6,1920,,textile_nu_high,0.05,0,medium,model/compressibility_textile_nu_high_medium_metadata.json,model/compressibility_textile_nu_high_medium.feb,,0,2601,True,retained by authors; available on reasonable request,80.0,15.0,results/compressibility_textile_nu_high_medium_summary.json,0.0,30
0.4,compressibility_textile_nu_low_medium,0.6,1920,,textile_nu_low,0.05,0,medium,model/compressibility_textile_nu_low_medium_metadata.json,model/compressibility_textile_nu_low_medium.feb,,0,2601,True,retained by authors; available on reasonable request,80.0,15.0,results/compressibility_textile_nu_low_medium_summary.json,0.0,30
0.4,compressibility_tpu_nu_high_medium,0.6,1920,,tpu_nu_high,0.05,158,medium,model/compressibility_tpu_nu_high_medium_metadata.json,model/compressibility_tpu_nu_high_medium.feb,,1,2601,True,retained by authors; available on reasonable request,80.0,15.0,results/compressibility_tpu_nu_high_medium_summary.json,0.0,30
0.4,compressibility_tpu_nu_low_medium,0.6,1920,,tpu_nu_low,0.05,0,medium,model/compressibility_tpu_nu_low_medium_metadata.json,model/compressibility_tpu_nu_low_medium.feb,,0,2601,True,retained by authors; available on reasonable request,80.0,15.0,results/compressibility_tpu_nu_low_medium_summary.json,0.0,30
,contact_sensitivity_augmentations_high_movement025,,,,garment case,,0,garment surface,model/contact_sensitivity_augmentations_high_movement025_metadata.json,model/contact_sensitivity_augmentations_high_movement025.feb,both_arms_raise,0,,True,retained by authors; available on reasonable request,,,results/contact_sensitivity_augmentations_high_movement025_movement_summary.json,,
,contact_sensitivity_augmentations_high_reference,,,,garment case,,30,garment surface,model/contact_sensitivity_augmentations_high_reference_metadata.json,model/contact_sensitivity_augmentations_high_reference.feb,,1,,True,retained by authors; available on reasonable request,,,results/contact_sensitivity_augmentations_high_reference_movement_summary.json,,
