family,material_case,loading_angle_deg,parameter_name,parameter_value,endpoint_strain_percent,endpoint_transfer_percent,normal_termination,case
isotropic_textile_poisson_ratio,textile_nu_low,0.0,textile_nu,0.2,0.8800095251052474,2.9333650836841585,True,compressibility_textile_nu_low_medium
isotropic_textile_poisson_ratio,literature_nominal,0.0,textile_nu,0.35,0.813185962707319,2.7106198756910636,True,compressibility_literature_nominal_medium
isotropic_textile_poisson_ratio,textile_nu_high,0.0,textile_nu,0.45,0.706871424406863,2.35623808135621,True,compressibility_textile_nu_high_medium
isotropic_tpu_poisson_ratio,tpu_nu_low,0.0,tpu_nu,0.4,0.8147923075976138,2.715974358658713,True,compressibility_tpu_nu_low_medium
isotropic_tpu_poisson_ratio,tpu_nu_high,0.0,tpu_nu,0.48,0.8123568284153038,2.7078560947176795,True,compressibility_tpu_nu_high_medium
two_fibre_shape_or_compressibility,textile_fiber_bulk_low,0.0,bulk_modulus_MPa,1.2,0.7655722713533741,2.551907571177914,True,shape_bulk_low_angle_0_local_medium
two_fibre_shape_or_compressibility,textile_fiber_bulk_low,60.0,bulk_modulus_MPa,1.2,0.03630983883457617,0.1210327961152539,True,shape_bulk_low_angle_60_local_medium
two_fibre_shape_or_compressibility,textile_fiber_balanced,0.0,balanced_nominal,1.0,0.7891834990697076,2.630611663565692,True,shape_balanced_angle_0_local_medium
two_fibre_shape_or_compressibility,textile_fiber_balanced,60.0,balanced_nominal,1.0,0.03840756706741999,0.12802522355806661,True,shape_balanced_angle_60_local_medium
two_fibre_shape_or_compressibility,textile_fiber_bulk_high,0.0,bulk_modulus_MPa,4.8,0.8017347102019201,2.6724490340064007,True,shape_bulk_high_angle_0_local_medium
two_fibre_shape_or_compressibility,textile_fiber_bulk_high,60.0,bulk_modulus_MPa,4.8,0.03941867412509126,0.13139558041697086,True,shape_bulk_high_angle_60_local_medium
two_fibre_shape_or_compressibility,textile_fiber_c4_low,0.0,fiber_c4,4.0,0.7915893401971097,2.638631133990366,True,shape_c4_low_angle_0_local_medium
two_fibre_shape_or_compressibility,textile_fiber_c4_low,60.0,fiber_c4,4.0,0.04037784574599357,0.1345928191533119,True,shape_c4_low_angle_60_local_medium
two_fibre_shape_or_compressibility,textile_fiber_c4_high,0.0,fiber_c4,12.0,0.7870350838076945,2.6234502793589813,True,shape_c4_high_angle_0_local_medium
two_fibre_shape_or_compressibility,textile_fiber_c4_high,60.0,fiber_c4,12.0,0.036641224953744,0.12213741651248,True,shape_c4_high_angle_60_local_medium
two_fibre_shape_or_compressibility,textile_fiber_transition_low,0.0,fiber_transition_stretch,1.02,0.7935464192043185,2.6451547306810617,True,shape_transition_low_angle_0_local_medium
two_fibre_shape_or_compressibility,textile_fiber_transition_low,60.0,fiber_transition_stretch,1.02,0.04197144201501857,0.13990480671672856,True,shape_transition_low_angle_60_local_medium
two_fibre_shape_or_compressibility,textile_fiber_transition_high,0.0,fiber_transition_stretch,1.08,0.7814870013629617,2.604956671209872,True,shape_transition_high_angle_0_local_medium
two_fibre_shape_or_compressibility,textile_fiber_transition_high,60.0,fiber_transition_stretch,1.08,0.03286190034501146,0.10953966781670488,True,shape_transition_high_angle_60_local_medium
