friction_coefficient,sensor,movement_induced_strain_percent,contact_free_scaled_strain_percent,sign_reversal_vs_contact_free,active_contact_fraction,reference_case,movement_case
0.0,1,-0.2860196476336199,0.28809052677694125,True,0.9615384615384616,garment_friction_n2f_mu0_reference,garment_friction_n2f_mu0_025
0.0,2,-0.28495418810965634,0.28809052677694114,True,0.9615384615384616,garment_friction_n2f_mu0_reference,garment_friction_n2f_mu0_025
0.0,3,-0.5609300921659288,1.2539999999896034,True,0.9615384615384616,garment_friction_n2f_mu0_reference,garment_friction_n2f_mu0_025
0.0,4,0.13353775016844427,0.33125000000000004,False,0.9615384615384616,garment_friction_n2f_mu0_reference,garment_friction_n2f_mu0_025
0.0,5,-0.038998812139690885,0.3311690686408836,True,0.9615384615384616,garment_friction_n2f_mu0_reference,garment_friction_n2f_mu0_025
0.0,6,-0.023138129986556046,0.4948026870717748,True,0.9615384615384616,garment_friction_n2f_mu0_reference,garment_friction_n2f_mu0_025
0.0,7,-0.015938264979981076,0.3135000000006535,True,0.9615384615384616,garment_friction_n2f_mu0_reference,garment_friction_n2f_mu0_025
0.0,8,-0.560820757546121,1.2539999999896034,True,0.9615384615384616,garment_friction_n2f_mu0_reference,garment_friction_n2f_mu0_025
0.0,9,0.10529354322228535,0.5671070368414741,False,0.9615384615384616,garment_friction_n2f_mu0_reference,garment_friction_n2f_mu0_025
0.0,10,0.10731878221221575,0.567107036841474,False,0.9615384615384616,garment_friction_n2f_mu0_reference,garment_friction_n2f_mu0_025
0.1,1,-0.2904929971502993,0.28809052677694125,True,0.9615384615384616,garment_friction_n2f_mu0p1_reference,garment_friction_n2f_mu0p1_kt0p1_025
0.1,2,-0.2894663104105357,0.28809052677694114,True,0.9615384615384616,garment_friction_n2f_mu0p1_reference,garment_friction_n2f_mu0p1_kt0p1_025
0.1,3,-0.5514432308502126,1.2539999999896034,True,0.9615384615384616,garment_friction_n2f_mu0p1_reference,garment_friction_n2f_mu0p1_kt0p1_025
0.1,4,0.1426515203959533,0.33125000000000004,False,0.9615384615384616,garment_friction_n2f_mu0p1_reference,garment_friction_n2f_mu0p1_kt0p1_025
0.1,5,-0.03965944142114129,0.3311690686408836,True,0.9615384615384616,garment_friction_n2f_mu0p1_reference,garment_friction_n2f_mu0p1_kt0p1_025
0.1,6,-0.023546986041399372,0.4948026870717748,True,0.9615384615384616,garment_friction_n2f_mu0p1_reference,garment_friction_n2f_mu0p1_kt0p1_025
0.1,7,-0.016187516793791934,0.3135000000006535,True,0.9615384615384616,garment_friction_n2f_mu0p1_reference,garment_friction_n2f_mu0p1_kt0p1_025
0.1,8,-0.5513080587368435,1.2539999999896034,True,0.9615384615384616,garment_friction_n2f_mu0p1_reference,garment_friction_n2f_mu0p1_kt0p1_025
0.1,9,0.10797905855809203,0.5671070368414741,False,0.9615384615384616,garment_friction_n2f_mu0p1_reference,garment_friction_n2f_mu0p1_kt0p1_025
0.1,10,0.10997047890234238,0.567107036841474,False,0.9615384615384616,garment_friction_n2f_mu0p1_reference,garment_friction_n2f_mu0p1_kt0p1_025
