variant,sensor,penalty_scale,garment_E_MPa,initial_clearance_mm,final_nominal_interference_mm,maximum_augmentations,torso_rx_mm,torso_ry_mm,movement_induced_strain_percent,contact_free_scaled_strain_percent,sign_reversal_vs_contact_free,movement_active_contact_fraction,reference_normal_termination,movement_normal_termination
baseline,1,0.001,0.8,0.5,0.09999999999999998,5,188.0,165.0,-0.240103993497162,0.28809052677694125,True,0.7049278846153846,True,True
baseline,2,0.001,0.8,0.5,0.09999999999999998,5,188.0,165.0,-0.24011241016960058,0.28809052677694114,True,0.7049278846153846,True,True
baseline,3,0.001,0.8,0.5,0.09999999999999998,5,188.0,165.0,-0.5771830121073018,1.2539999999896034,True,0.7049278846153846,True,True
baseline,4,0.001,0.8,0.5,0.09999999999999998,5,188.0,165.0,0.15253456565151868,0.33125000000000004,False,0.7049278846153846,True,True
baseline,5,0.001,0.8,0.5,0.09999999999999998,5,188.0,165.0,-0.0388384011047165,0.3311690686408836,True,0.7049278846153846,True,True
baseline,6,0.001,0.8,0.5,0.09999999999999998,5,188.0,165.0,-0.020331829071056524,0.4948026870717748,True,0.7049278846153846,True,True
baseline,7,0.001,0.8,0.5,0.09999999999999998,5,188.0,165.0,-0.014646193323619716,0.3135000000006535,True,0.7049278846153846,True,True
baseline,8,0.001,0.8,0.5,0.09999999999999998,5,188.0,165.0,-0.5771541693978144,1.2539999999896034,True,0.7049278846153846,True,True
baseline,9,0.001,0.8,0.5,0.09999999999999998,5,188.0,165.0,0.13191671135602434,0.5671070368414741,False,0.7049278846153846,True,True
baseline,10,0.001,0.8,0.5,0.09999999999999998,5,188.0,165.0,0.13179666129735437,0.567107036841474,False,0.7049278846153846,True,True
penalty_low,1,0.0005,0.8,0.5,0.09999999999999998,5,188.0,165.0,-0.23982665290536528,0.28809052677694125,True,0.7163461538461539,True,True
penalty_low,2,0.0005,0.8,0.5,0.09999999999999998,5,188.0,165.0,-0.23982669977678922,0.28809052677694114,True,0.7163461538461539,True,True
penalty_low,3,0.0005,0.8,0.5,0.09999999999999998,5,188.0,165.0,-0.5774053790364553,1.2539999999896034,True,0.7163461538461539,True,True
penalty_low,4,0.0005,0.8,0.5,0.09999999999999998,5,188.0,165.0,0.153015797957623,0.33125000000000004,False,0.7163461538461539,True,True
penalty_low,5,0.0005,0.8,0.5,0.09999999999999998,5,188.0,165.0,-0.03885894170928482,0.3311690686408836,True,0.7163461538461539,True,True
penalty_low,6,0.0005,0.8,0.5,0.09999999999999998,5,188.0,165.0,-0.020452511901860676,0.4948026870717748,True,0.7163461538461539,True,True
penalty_low,7,0.0005,0.8,0.5,0.09999999999999998,5,188.0,165.0,-0.01465460652517181,0.3135000000006535,True,0.7163461538461539,True,True
penalty_low,8,0.0005,0.8,0.5,0.09999999999999998,5,188.0,165.0,-0.5774052073720004,1.2539999999896034,True,0.7163461538461539,True,True
penalty_low,9,0.0005,0.8,0.5,0.09999999999999998,5,188.0,165.0,0.13205785689114113,0.5671070368414741,False,0.7163461538461539,True,True
