case_name,varied_parameter,parameter_value,sensor_length_mm,sensor_width_mm,backing_thickness_mm,conductive_thickness_mm,coupon_strain,mean_conductive_gauge_strain,strain_transfer_ratio,predicted_delta_R_over_R0,element_count
geometry_sensor_length_40,sensor_length_mm,40.0,40.0,15.0,0.4,0.6,0.3,0.00549849862156222,0.018328328738540733,0.03351009576659325,240
geometry_sensor_length_60,sensor_length_mm,60.0,60.0,15.0,0.4,0.6,0.3,0.0070343506783334675,0.023447835594444893,0.04305807251286664,252
geometry_sensor_length_80,sensor_length_mm,80.0,80.0,15.0,0.4,0.6,0.3,0.009618530433125017,0.03206176811041672,0.059311591824346754,264
geometry_sensor_length_100,sensor_length_mm,100.0,100.0,15.0,0.4,0.6,0.3,0.01538316593649995,0.05127721978833317,0.09643581732575512,276
geometry_sensor_width_5,sensor_width_mm,5.0,80.0,5.0,0.4,0.6,0.3,0.020590973965000002,0.06863657988333334,0.1310287167259543,232
geometry_sensor_width_10,sensor_width_mm,10.0,80.0,10.0,0.4,0.6,0.3,0.012534814177291765,0.04178271392430588,0.07794134953706777,224
geometry_sensor_width_15,sensor_width_mm,15.0,80.0,15.0,0.4,0.6,0.3,0.009618530433125017,0.03206176811041672,0.059311591824346754,264
geometry_sensor_width_20,sensor_width_mm,20.0,80.0,20.0,0.4,0.6,0.3,0.008142741614749838,0.027142472049166127,0.050000355977738886,256
geometry_backing_thickness_0p2,backing_thickness_mm,0.2,80.0,15.0,0.2,0.6,0.3,0.012495548985937433,0.041651829953124775,0.0776884720926494,264
geometry_backing_thickness_0p4,backing_thickness_mm,0.4,80.0,15.0,0.4,0.6,0.3,0.009618530433125017,0.03206176811041672,0.059311591824346754,264
geometry_backing_thickness_0p6,backing_thickness_mm,0.6,80.0,15.0,0.6,0.6,0.3,0.007664583190312513,0.025548610634375045,0.047000125512133506,264
geometry_backing_thickness_0p8,backing_thickness_mm,0.8,80.0,15.0,0.8,0.6,0.3,0.005772651942812424,0.01924217314270808,0.035208355208071085,264
geometry_conductive_thickness_0p2,conductive_thickness_mm,0.2,80.0,15.0,0.4,0.2,0.3,0.01608545483609376,0.0536181827869792,0.10104169678670138,264
geometry_conductive_thickness_0p4,conductive_thickness_mm,0.4,80.0,15.0,0.4,0.4,0.3,0.012099187607187468,0.04033062535729156,0.07513894618542394,264
geometry_conductive_thickness_0p6,conductive_thickness_mm,0.6,80.0,15.0,0.4,0.6,0.3,0.009618530433125017,0.03206176811041672,0.059311591824346754,264
geometry_conductive_thickness_0p8,conductive_thickness_mm,0.8,80.0,15.0,0.4,0.8,0.3,0.00792997013015615,0.026433233767187165,0.04866430808132205,264
