case,n_theta,n_z,shirt_elements,contact_coverage,minimum_signed_area_ratio,sensor,panel,sensor_angle_deg,green_subtraction_sensor_axis,relative_F_sensor_axis_green,relative_F_sensor_transverse_green,relative_F_sensor_shear_green,det_relative_deformation_gradient,movement_local_gap_mm,movement_local_pressure_kPa,movement_local_contact_active,reduced_analytical_sensor_axis_green,sign_vs_reduced_relative_F
"full garment without contact, coarse mesh",56,23,1288,0.0,0.9933792274633024,1,front,15.0,-0.0011216112463481767,-0.0011216112239907927,0.0013251658945162559,-0.0013063036554373493,1.000197149736154,,,False,0.0028809052677694126,True
"full garment without contact, coarse mesh",56,23,1288,0.0,0.9933792274633024,2,front,165.0,-0.0011216112463481728,-0.0011216112239907927,0.001325165894516478,0.0013063036554373363,1.0001971497361544,,,False,0.0028809052677694113,True
"full garment without contact, coarse mesh",56,23,1288,0.0,0.9933792274633024,3,front,90.0,-0.003649337456841928,-0.003649337602815328,0.0004766714162658392,-0.00018817908947589307,0.9968187236612928,,,False,0.012539999999896035,True
"full garment without contact, coarse mesh",56,23,1288,0.0,0.9933792274633024,4,front,0.0,0.00019223142900437473,0.0001922314279021453,-0.00209103395033422,0.00015149841606542795,0.9980985398738381,,,False,0.0033125000000000003,False
"full garment without contact, coarse mesh",56,23,1288,0.0,0.9933792274633024,5,front,55.0,-0.0008486734175945454,-0.0008486734233019155,0.0006928570645645671,0.00026904560621897333,0.9998428505034506,,,False,0.003311690686408836,True
"full garment without contact, coarse mesh",56,23,1288,0.0,0.9933792274633024,6,front,105.0,-0.0004954094281958001,-0.0004954094293148081,0.0003395930705774042,-0.0007015392403668108,0.9998428505034506,,,False,0.004948026870717748,True
"full garment without contact, coarse mesh",56,23,1288,0.0,0.9933792274633024,7,front,90.0,-0.00040335096858723496,-0.00040335095617649586,-0.00042435063847007237,-6.895731561798761e-05,0.9991722886665767,,,False,0.003135000000006535,True
"full garment without contact, coarse mesh",56,23,1288,0.0,0.9933792274633024,8,back,90.0,-0.003649337456841928,-0.003649337602815328,0.00047667141626206444,-0.00018817908947581523,0.9968187236612888,,,False,0.012539999999896035,True
"full garment without contact, coarse mesh",56,23,1288,0.0,0.9933792274633024,9,back,160.0,0.0007761058149276597,0.0007761058216501082,-0.0010464576134054937,-0.0009185820940362322,0.9997262988422637,,,False,0.005671070368414742,False
"full garment without contact, coarse mesh",56,23,1288,0.0,0.9933792274633024,10,back,20.0,0.0007761058149275123,0.0007761058216501082,-0.0010464576134056047,0.0009185820940362781,0.9997262988422638,,,False,0.00567107036841474,False
"full garment without contact, current mesh",64,26,1664,0.0,0.9909108403291799,1,front,15.0,-0.0010636835033383594,-0.0010636835404442824,0.0011793345411749145,-0.001187882266186809,1.0001103139101144,,,False,0.0028809052677694126,True
"full garment without contact, current mesh",64,26,1664,0.0,0.9909108403291799,2,front,165.0,-0.0010636835033382063,-0.0010636835404440603,0.0011793345411746925,0.001187882266186861,1.0001103139101144,,,False,0.0028809052677694113,True
"full garment without contact, current mesh",64,26,1664,0.0,0.9909108403291799,3,front,90.0,-0.0031528485956066055,-0.0031528485956066055,0.00038626997507995586,-0.00014823822046555713,0.9972270972339615,,,False,0.012539999999896035,True
"full garment without contact, current mesh",64,26,1664,0.0,0.9909108403291799,4,front,0.0,-2.5755551329387227e-05,-2.5755551188388903e-05,-0.0017035206494823707,0.00011547318476411449,0.9982692871980414,,,False,0.0033125000000000003,True
"full garment without contact, current mesh",64,26,1664,0.0,0.9909108403291799,5,front,55.0,-0.0008235111265195141,-0.0008235111167445575,0.0006460915335650963,0.000270841166805081,0.99982135362256,,,False,0.003311690686408836,True
"full garment without contact, current mesh",64,26,1664,0.0,0.9909108403291799,6,front,105.0,-0.0004775069222630314,-0.00047750691730547024,0.00030008733412589805,-0.0006797975581895521,0.9998213536225605,,,False,0.004948026870717748,True
"full garment without contact, current mesh",64,26,1664,0.0,0.9909108403291799,7,front,90.0,-0.0003024671436804849,-0.0003024671436804849,-0.0006031852611088073,-5.254645491095867e-05,0.9990942968112639,,,False,0.003135000000006535,True
"full garment without contact, current mesh",64,26,1664,0.0,0.9909108403291799,8,back,90.0,-0.0031528485956066055,-0.0031528485956066055,0.0003862699750573073,-0.0001482382204656184,0.9972270972339385,,,False,0.012539999999896035,True
"full garment without contact, current mesh",64,26,1664,0.0,0.9909108403291799,9,back,160.0,0.0007083718248158455,0.0007083718163367614,-0.0009924137546222789,-0.0008715720859921831,0.9997129916031348,,,False,0.005671070368414742,False
"full garment without contact, current mesh",64,26,1664,0.0,0.9909108403291799,10,back,20.0,0.0007083718248160406,0.0007083718163373165,-0.0009924137546222789,0.0008715720859921181,0.9997129916031349,,,False,0.00567107036841474,False
"full garment without contact, fine mesh",72,30,2160,0.0,0.988409474058543,1,front,15.0,-0.0009091708600010956,-0.0009091708579703206,0.0015346876844246626,-0.000905382710796555,1.0006208940494008,,,False,0.0028809052677694126,True
"full garment without contact, fine mesh",72,30,2160,0.0,0.988409474058543,2,front,165.0,-0.000909170860001096,-0.0009091708579704316,0.0015346876844246626,0.0009053827107965715,1.0006208940494006,,,False,0.0028809052677694113,True
"full garment without contact, fine mesh",72,30,2160,0.0,0.988409474058543,3,front,90.0,-0.0027818352520408984,-0.0027818354232307385,0.00030620646566126286,-0.00012006532411409476,0.9975195622934719,,,False,0.012539999999896035,True
"full garment without contact, fine mesh",72,30,2160,0.0,0.988409474058543,4,front,0.0,-0.00016740063356129875,-0.00016740063301406982,-0.0014821253360186581,9.265060406075411e-05,0.9983495911554601,,,False,0.0033125000000000003,True
"full garment without contact, fine mesh",72,30,2160,0.0,0.988409474058543,5,front,55.0,-0.0008404764778241953,-0.000840476459753714,0.0006367479548072819,0.0002758581076832663,0.9997950279495581,,,False,0.003311690686408836,True
"full garment without contact, fine mesh",72,30,2160,0.0,0.988409474058543,6,front,105.0,-0.0004903558669973545,-0.0004903558558297383,0.0002866273508831396,-0.0006860903456832549,0.9997950279495578,,,False,0.004948026870717748,True
"full garment without contact, fine mesh",72,30,2160,0.0,0.988409474058543,7,front,90.0,-0.00028407419809795,-0.0002840741893572196,-0.0007249546504077276,-4.600890685740736e-05,0.9989908696363599,,,False,0.003135000000006535,True
"full garment without contact, fine mesh",72,30,2160,0.0,0.988409474058543,8,back,90.0,-0.0027818352520408984,-0.0027818354232307385,0.0003062064656166319,-0.00012006532411414723,0.997519562293428,,,False,0.012539999999896035,True
"full garment without contact, fine mesh",72,30,2160,0.0,0.988409474058543,9,back,160.0,0.0006243824248891066,0.000624382411297475,-0.0009102483744163892,-0.000803865128407682,0.9997116633834396,,,False,0.005671070368414742,False
"full garment without contact, fine mesh",72,30,2160,0.0,0.988409474058543,10,back,20.0,0.0006243824248890088,0.0006243824112972529,-0.0009102483744163892,0.0008038651284077124,0.9997116633834394,,,False,0.00567107036841474,False
"full garment with contact, coarse mesh",56,23,1288,0.7111801242236024,0.990776109073869,1,front,15.0,-0.00220999279285406,-0.0022091025930656705,0.002969395370379102,-0.0036696128230351197,1.0007199820754036,-0.00168711960808,0.0037000919475599996,True,0.0028809052677694126,True
"full garment with contact, coarse mesh",56,23,1288,0.7111801242236024,0.990776109073869,2,front,165.0,-0.002209992792854257,-0.0022091025930657815,0.002969395370379102,0.0036696128230350707,1.0007199820754031,-0.00168711960809,0.0037000919475500002,True,0.0028809052677694113,True
"full garment with contact, coarse mesh",56,23,1288,0.7111801242236024,0.990776109073869,3,front,90.0,-0.005982481466553113,-0.005984454344476975,0.0035819952246922693,-0.0005219814695966599,0.9975511248825806,0.0134379207799,0.0134379207799,True,0.012539999999896035,True
"full garment with contact, coarse mesh",56,23,1288,0.7111801242236024,0.990776109073869,4,front,0.0,0.001734297146949726,0.0017324131818854394,-0.0021065180805024397,0.00021663777645439936,0.9996184297202656,0.0108431319607,0.0108431319607,True,0.0033125000000000003,False
"full garment with contact, coarse mesh",56,23,1288,0.7111801242236024,0.990776109073869,5,front,55.0,-0.00037375082025728793,-0.0003736111725942681,0.0003875652486883263,0.00013365278722532784,1.0000136286597128,0.00393641365187,0.00393641365187,True,0.003311690686408836,True
"full garment with contact, coarse mesh",56,23,1288,0.7111801242236024,0.990776109073869,6,front,105.0,-0.0001987362104354905,-0.00019866009020286235,0.0002126141662972536,-0.0003470213611542261,1.0000136286597132,0.00393641365187,0.00393641365187,True,0.004948026870717748,True
"full garment with contact, coarse mesh",56,23,1288,0.7111801242236024,0.990776109073869,7,front,90.0,-0.0001792904193639866,-0.00017934946936559726,0.0001940554436374864,-2.8542595926437102e-05,1.0000146346303511,0.0042352165472,0.004235216547200001,True,0.003135000000006535,True
"full garment with contact, coarse mesh",56,23,1288,0.7111801242236024,0.990776109073869,8,back,90.0,-0.005982481466553113,-0.005984454344476975,0.0035819952246924913,-0.0005219814695966356,0.9975511248825804,0.0134379207799,0.0134379207799,True,0.012539999999896035,True
"full garment with contact, coarse mesh",56,23,1288,0.7111801242236024,0.990776109073869,9,back,160.0,0.0012040357869545167,0.001203401135395521,-0.0010702882220218202,-0.0010398510914930977,1.0001283661226301,0.00599445624375,0.00599445624375,True,0.005671070368414742,False
"full garment with contact, coarse mesh",56,23,1288,0.7111801242236024,0.990776109073869,10,back,20.0,0.001204035786954516,0.001203401135395521,-0.0010702882220219312,0.0010398510914930974,1.00012836612263,0.00599445624375,0.00599445624375,True,0.00567107036841474,False
"full garment with contact, current mesh",64,26,1664,0.7283653846153846,0.9902962503710246,1,front,15.0,-0.002397637978699652,-0.002396667994286339,0.0032050743992348973,-0.003969399839603792,1.0007612413917755,0.00135454943456,0.00526583297802,True,0.0028809052677694126,True
"full garment with contact, current mesh",64,26,1664,0.7283653846153846,0.9902962503710246,2,front,165.0,-0.00239763797869966,-0.002396667994286561,0.0032050743992351194,0.003969399839603742,1.0007612413917752,0.00135454943455,0.00526583297802,True,0.0028809052677694113,True
"full garment with contact, current mesh",64,26,1664,0.7283653846153846,0.9902962503710246,3,front,90.0,-0.005773490241969437,-0.00577539369396346,0.0035174839482960962,-0.0004434290922433941,0.9976984186481117,0.01372255593,0.01372255593,True,0.012539999999896035,True
"full garment with contact, current mesh",64,26,1664,0.7283653846153846,0.9902962503710246,4,front,0.0,0.0015535163704929467,0.0015518285247791974,-0.0018527624361839856,0.0001696807583768527,0.9996932111066053,0.0100572390064,0.010057239006400001,True,0.0033125000000000003,False
"full garment with contact, current mesh",64,26,1664,0.7283653846153846,0.9902962503710246,5,front,55.0,-0.0003899432211688444,-0.0003897935342353498,0.0004056599376596193,0.0001453993520774868,1.0000155077540183,0.00392688208544,0.00392688208544,True,0.003311690686408836,True
"full garment with contact, current mesh",64,26,1664,0.7283653846153846,0.9902962503710246,6,front,105.0,-0.0002033643819750693,-0.0002032822522685107,0.00021914865569216957,-0.00036703618360021603,1.0000155077540176,0.00392688208544,0.00392688208544,True,0.004948026870717748,True
"full garment with contact, current mesh",64,26,1664,0.7283653846153846,0.9902962503710246,7,front,90.0,-0.00014683440485530053,-0.00014688276582497384,0.0001690253278722187,-2.1785153310475147e-05,1.0000220917150282,0.00412018552087,0.00412018552087,True,0.003135000000006535,True
"full garment with contact, current mesh",64,26,1664,0.7283653846153846,0.9902962503710246,8,back,90.0,-0.005773490241969437,-0.00577539369396346,0.003517483948295874,-0.0004434290922433612,0.9976984186481117,0.01372255593,0.01372255593,True,0.012539999999896035,True
"full garment with contact, current mesh",64,26,1664,0.7283653846153846,0.9902962503710246,9,back,160.0,0.0013416549168364812,0.0013409468799653324,-0.0011797914988580516,-0.001156923752336367,1.0001553023021221,0.00616668444248,0.00616668444248,True,0.005671070368414742,False
"full garment with contact, current mesh",64,26,1664,0.7283653846153846,0.9902962503710246,10,back,20.0,0.0013416549168366763,0.0013409468799655544,-0.0011797914988580516,0.0011569237523362842,1.0001553023021221,0.00616668444246,0.00616668444246,True,0.00567107036841474,False
"full garment with contact, fine mesh",72,30,2160,0.7351851851851852,0.9895498542770031,1,front,15.0,-0.002661911014050399,-0.002660453056264056,0.003979220927613714,-0.0033279540286790107,1.001274631908912,-0.0027302729966,0.00189221567872,True,0.0028809052677694126,True
"full garment with contact, fine mesh",72,30,2160,0.7351851851851852,0.9895498542770031,2,front,165.0,-0.0026619110140504005,-0.002660453056264167,0.0039792209276134916,0.003327954028678982,1.0012746319089116,-0.00273027299659,0.00189221567872,True,0.0028809052677694113,True
"full garment with contact, fine mesh",72,30,2160,0.7351851851851852,0.9895498542770031,3,front,90.0,-0.005795382933435678,-0.005797293774656209,0.0034895720097971594,-0.00039558837649359107,0.9976487408970177,0.0143715409144,0.0143715409144,True,0.012539999999896035,True
"full garment with contact, fine mesh",72,30,2160,0.7351851851851852,0.9895498542770031,4,front,0.0,0.00153826187295647,0.0015365904248630935,-0.001836706031171198,0.0001496239189799812,0.9996941483166588,0.00993471988798,0.00993471988798,True,0.0033125000000000003,False
"full garment with contact, fine mesh",72,30,2160,0.7351851851851852,0.9895498542770031,5,front,55.0,-0.00047144636698157033,-0.000471263920701237,0.0004943423811049064,0.0001779706560598259,1.000022548927641,0.00396313751278,0.00396313751278,True,0.003311690686408836,True
"full garment with contact, fine mesh",72,30,2160,0.7351851851851852,0.9895498542770031,6,front,105.0,-0.00024401288187501425,-0.00024391210806479213,0.00026699056846835045,-0.00044667331543113377,1.0000225489276413,0.00396313751278,0.00396313751278,True,0.004948026870717748,True
"full garment with contact, fine mesh",72,30,2160,0.7351851851851852,0.9895498542770031,7,front,90.0,-0.00016357749406148425,-0.0001636313661663169,0.0001826809266559648,-2.0965862357247277e-05,1.0000189887164135,0.0041725226925,0.0041725226925,True,0.003135000000006535,True
"full garment with contact, fine mesh",72,30,2160,0.7351851851851852,0.9895498542770031,8,back,90.0,-0.005795382933435678,-0.005797293774656209,0.0034895720097969374,-0.0003955883764935821,0.9976487408970173,0.0143715409144,0.0143715409144,True,0.012539999999896035,True
"full garment with contact, fine mesh",72,30,2160,0.7351851851851852,0.9895498542770031,9,back,160.0,0.001313465896046027,0.0013127846135484456,-0.0011493724552564255,-0.0011587612954072266,1.0001576965127126,0.00582709963054,0.00582709963054,True,0.005671070368414742,False
"full garment with contact, fine mesh",72,30,2160,0.7351851851851852,0.9895498542770031,10,back,20.0,0.001313465896046224,0.0013127846135486676,-0.0011493724552564255,0.00115876129540717,1.0001576965127126,0.00582709963054,0.00582709963054,True,0.00567107036841474,False
