angle_deg,strain_state,exx,eyy,gamma_xy,projected_textile_strain,screening_transfer_ratio,predicted_mean_gauge_strain,finite_directional_engineering_strain,predicted_endpoint_strain_finite_directional
-75,horizontal_extension,0.3,-0.09,0.0,-0.06387495373796555,0.032984678440592795,-0.0021068948094545344,-0.06605669737180031,-0.0021788589216563846
-75,vertical_extension,-0.09,0.3,0.0,0.27387495373796555,0.032984678440592795,0.009033677281979022,0.24408597270282373,0.008051097321461951
-75,positive_shear,0.08,0.04,0.2,-0.007320508075688764,0.032984678440592795,-0.00024146460489835663,-0.007347500960873776,-0.0002423549565363681
-75,negative_shear,0.08,0.04,-0.2,0.09267949192431123,0.032984678440592795,0.0030570032391609224,0.08874192711065487,0.002927123929943475
-75,biaxial_extension,0.18,0.12,0.0,0.12401923788646685,0.032984678440592795,0.004090734682132492,0.11715642403959414,0.0038643669741957485
-60,horizontal_extension,0.3,-0.09,0.0,0.007500000000000034,0.032984678440592795,0.0002473850883044471,0.00747208398049426,0.0002464642873777078
-60,vertical_extension,-0.09,0.3,0.0,0.20249999999999993,0.032984678440592795,0.006679397384220039,0.1853269591129698,0.006112950152714198
-60,positive_shear,0.08,0.04,0.2,-0.03660254037844389,0.032984678440592795,-0.0012073230244917855,-0.037298115072421756,-0.0012302663321040591
-60,negative_shear,0.08,0.04,-0.2,0.13660254037844388,0.032984678440592795,0.004505790868551064,0.12836389553941663,0.004234041817749501
-60,biaxial_extension,0.18,0.12,0.0,0.135,0.032984678440592795,0.0044529315894800275,0.1269427669584644,0.004187166348484056
-45,horizontal_extension,0.3,-0.09,0.0,0.10500000000000004,0.032984678440592795,0.0034633912362622447,0.10000000000000009,0.0032984678440592823
-45,vertical_extension,-0.09,0.3,0.0,0.10499999999999995,0.032984678440592795,0.003463391236262242,0.10000000000000009,0.0032984678440592823
-45,positive_shear,0.08,0.04,0.2,-0.04,0.032984678440592795,-0.001319387137623712,-0.040833695337456066,-0.0013468863102471217
-45,negative_shear,0.08,0.04,-0.2,0.16,0.032984678440592795,0.005277548550494848,0.14891252930760568,0.004911831894986724
-45,biaxial_extension,0.18,0.12,0.0,0.15,0.032984678440592795,0.004947701766088919,0.14017542509913805,0.004623641322168469
-30,horizontal_extension,0.3,-0.09,0.0,0.20250000000000004,0.032984678440592795,0.006679397384220042,0.1853269591129698,0.006112950152714198
-30,vertical_extension,-0.09,0.3,0.0,0.007499999999999979,0.032984678440592795,0.0002473850883044453,0.00747208398049426,0.0002464642873777078
-30,positive_shear,0.08,0.04,0.2,-0.01660254037844386,0.032984678440592795,-0.0005476294556799285,-0.01674269936953321,-0.0005522525549315686
-30,negative_shear,0.08,0.04,-0.2,0.15660254037844387,0.032984678440592795,0.00516548443736292,0.14595160489301984,0.00481416675528471
-30,biaxial_extension,0.18,0.12,0.0,0.165,0.032984678440592795,0.005442471942697811,0.15325625946707966,0.005055108437529677
-15,horizontal_extension,0.3,-0.09,0.0,0.27387495373796555,0.032984678440592795,0.009033677281979022,0.24408597270282373,0.008051097321461951
-15,vertical_extension,-0.09,0.3,0.0,-0.06387495373796555,0.032984678440592795,-0.0021068948094545344,-0.06605669737180031,-0.0021788589216563846
-15,positive_shear,0.08,0.04,0.2,0.02732050807568879,0.032984678440592795,0.0009011581737102133,0.02695716373730872,0.0008891733775455369
-15,negative_shear,0.08,0.04,-0.2,0.1273205080756888,0.032984678440592795,0.004199626017769493,0.12010759132834092,0.003961710278239457
-15,biaxial_extension,0.18,0.12,0.0,0.17598076211353317,0.032984678440592795,0.005804668850045346,0.16273880309683753,0.005367887089956133
0,horizontal_extension,0.3,-0.09,0.0,0.3,0.032984678440592795,0.009895403532177839,0.26491106406735176,0.008738006263616874
0,vertical_extension,-0.09,0.3,0.0,-0.09,0.032984678440592795,-0.0029686210596533515,-0.09446148618625827,-0.003115781746874227
0,positive_shear,0.08,0.04,0.2,0.08,0.032984678440592795,0.002638774275247424,0.07703296142690075,0.0025409074619929094
0,negative_shear,0.08,0.04,-0.2,0.08,0.032984678440592795,0.002638774275247424,0.07703296142690075,0.0025409074619929094
0,biaxial_extension,0.18,0.12,0.0,0.18,0.032984678440592795,0.005937242119306703,0.16619037896905997,0.005481736210214699
15,horizontal_extension,0.3,-0.09,0.0,0.27387495373796555,0.032984678440592795,0.009033677281979022,0.24408597270282373,0.008051097321461951
15,vertical_extension,-0.09,0.3,0.0,-0.06387495373796555,0.032984678440592795,-0.0021068948094545344,-0.06605669737180031,-0.0021788589216563846
15,positive_shear,0.08,0.04,0.2,0.1273205080756888,0.032984678440592795,0.004199626017769493,0.12010759132834092,0.003961710278239457
15,negative_shear,0.08,0.04,-0.2,0.02732050807568879,0.032984678440592795,0.0009011581737102133,0.02695716373730872,0.0008891733775455369
15,biaxial_extension,0.18,0.12,0.0,0.17598076211353317,0.032984678440592795,0.005804668850045346,0.16273880309683753,0.005367887089956133
30,horizontal_extension,0.3,-0.09,0.0,0.20250000000000004,0.032984678440592795,0.006679397384220042,0.1853269591129698,0.006112950152714198
30,vertical_extension,-0.09,0.3,0.0,0.007499999999999979,0.032984678440592795,0.0002473850883044453,0.00747208398049426,0.0002464642873777078
30,positive_shear,0.08,0.04,0.2,0.15660254037844387,0.032984678440592795,0.00516548443736292,0.14595160489301984,0.00481416675528471
30,negative_shear,0.08,0.04,-0.2,-0.01660254037844386,0.032984678440592795,-0.0005476294556799285,-0.01674269936953321,-0.0005522525549315686
30,biaxial_extension,0.18,0.12,0.0,0.165,0.032984678440592795,0.005442471942697811,0.15325625946707966,0.005055108437529677
45,horizontal_extension,0.3,-0.09,0.0,0.10500000000000004,0.032984678440592795,0.0034633912362622447,0.10000000000000009,0.0032984678440592823
45,vertical_extension,-0.09,0.3,0.0,0.10499999999999995,0.032984678440592795,0.003463391236262242,0.10000000000000009,0.0032984678440592823
45,positive_shear,0.08,0.04,0.2,0.16,0.032984678440592795,0.005277548550494848,0.14891252930760568,0.004911831894986724
