case_name,garment_model,sensor,mesh,input_relative_F_sensor_axis_green_percent,input_relative_F_transverse_green_percent,input_relative_F_shear_green_percent,input_det_F,endpoint_gauge_percent,path_gauge_percent,element_count,node_count,normal_termination,negative_jacobian_messages
relativeF0p6_full_garment_no_contact_s3_local_coarse,full_garment_no_contact,3,local_coarse,-0.31528485956066055,0.038626997507995586,-0.014823822046555713,0.9972270972339615,-0.005993916406321631,-0.004810015637840139,1328,1836,True,0
relativeF0p6_full_garment_no_contact_s3_local_medium,full_garment_no_contact,3,local_medium,-0.31528485956066055,0.038626997507995586,-0.014823822046555713,0.9972270972339615,-0.007143935593862949,-0.0033975554844146096,7632,9305,True,0
relativeF0p6_full_garment_no_contact_s3_local_fine,full_garment_no_contact,3,local_fine,-0.31528485956066055,0.038626997507995586,-0.014823822046555713,0.9972270972339615,-0.009959912158219453,-0.0011427855986626703,40704,46449,True,0
relativeF0p6_full_garment_no_contact_s9_local_coarse,full_garment_no_contact,9,local_coarse,0.07083718163367614,-0.09924137546222789,-0.08715720859921831,0.9997129916031348,0.002469269678027075,0.0020502154693376514,1328,1836,True,0
relativeF0p6_full_garment_no_contact_s9_local_medium,full_garment_no_contact,9,local_medium,0.07083718163367614,-0.09924137546222789,-0.08715720859921831,0.9997129916031348,0.0028051693018227297,0.0015273824660315648,7632,9305,True,0
relativeF0p6_full_garment_no_contact_s9_local_fine,full_garment_no_contact,9,local_fine,0.07083718163367614,-0.09924137546222789,-0.08715720859921831,0.9997129916031348,0.003473408365728403,0.0007502421141591752,40704,46449,True,0
relativeF0p6_full_garment_contact_s3_local_coarse,full_garment_contact,3,local_coarse,-0.577539369396346,0.3517483948296096,-0.04434290922433941,0.9976984186481117,-0.011919706443492828,-0.009900647144633868,1328,1836,True,0
relativeF0p6_full_garment_contact_s3_local_medium,full_garment_contact,3,local_medium,-0.577539369396346,0.3517483948296096,-0.04434290922433941,0.9976984186481117,-0.01402127447294177,-0.007187195933933651,7632,9305,True,0
relativeF0p6_full_garment_contact_s3_local_fine,full_garment_contact,3,local_fine,-0.577539369396346,0.3517483948296096,-0.04434290922433941,0.9976984186481117,-0.019729202119691536,-0.0029294284039418942,40704,46449,True,0
relativeF0p6_full_garment_contact_s9_local_coarse,full_garment_contact,9,local_coarse,0.13409468799653324,-0.11797914988580516,-0.11569237523363671,1.0001553023021221,0.0046396664594361425,0.0038085237863992546,1328,1836,True,0
relativeF0p6_full_garment_contact_s9_local_medium,full_garment_contact,9,local_medium,0.13409468799653324,-0.11797914988580516,-0.11569237523363671,1.0001553023021221,0.005261917344938638,0.0028251392182029908,7632,9305,True,0
relativeF0p6_full_garment_contact_s9_local_fine,full_garment_contact,9,local_fine,0.13409468799653324,-0.11797914988580516,-0.11569237523363671,1.0001553023021221,0.006391931068527867,0.0014106235335135545,40704,46449,True,0
